,Unnamed_ 0,PLOT_ID,LON,LAT,CLASS,MONTH,ACTUAL,CLASS_WET,CLEAR_OBS,PREDICTION,STARTDATE,ENDDATE,geometry,index_right,ID,CODE,COUNTRY
2888,843,137387103.0,33.757441899999996,7.996665661000002,Herbaceous/Grassland,11,0,0.0,4.0,0,,,POINT (3257129.999716756 1016940.000014417),0,,,Eastern
2889,844,137387103.0,33.757441899999996,7.996665661000002,Herbaceous/Grassland,12,0,0.0,4.0,0,,,POINT (3257129.999716756 1016940.000014417),0,,,Eastern
2890,845,137387104.0,38.33892228,7.946338496,Open water - freshwater,2,0,0.0,5.0,0,,,POINT (3699179.99962542 1010579.999956667),0,,,Eastern
2891,846,137387104.0,38.33892228,7.946338496,Open water - freshwater,3,0,0.0,6.0,0,,,POINT (3699179.99962542 1010579.999956667),0,,,Eastern
2892,847,137387104.0,38.33892228,7.946338496,Open water - freshwater,4,0,0.0,5.0,0,,,POINT (3699179.99962542 1010579.999956667),0,,,Eastern
2893,848,137387104.0,38.33892228,7.946338496,Open water - freshwater,5,0,0.0,4.0,0,,,POINT (3699179.99962542 1010579.999956667),0,,,Eastern
2894,849,137387104.0,38.33892228,7.946338496,Open water - freshwater,6,0,0.0,3.0,0,,,POINT (3699179.99962542 1010579.999956667),0,,,Eastern
2895,850,137387104.0,38.33892228,7.946338496,Open water - freshwater,7,0,0.0,3.0,0,,,POINT (3699179.99962542 1010579.999956667),0,,,Eastern
2896,851,137387104.0,38.33892228,7.946338496,Open water - freshwater,8,0,0.0,3.0,0,,,POINT (3699179.99962542 1010579.999956667),0,,,Eastern
2897,852,137387104.0,38.33892228,7.946338496,Open water - freshwater,9,0,0.0,5.0,0,,,POINT (3699179.99962542 1010579.999956667),0,,,Eastern
2898,853,137387104.0,38.33892228,7.946338496,Open water - freshwater,10,0,0.0,5.0,0,,,POINT (3699179.99962542 1010579.999956667),0,,,Eastern
2899,854,137387104.0,38.33892228,7.946338496,Open water - freshwater,1,1,0.0,5.0,0,,,POINT (3699179.99962542 1010579.999956667),0,,,Eastern
2900,855,137387104.0,38.33892228,7.946338496,Open water - freshwater,11,1,0.0,4.0,0,,,POINT (3699179.99962542 1010579.999956667),0,,,Eastern
2901,856,137387104.0,38.33892228,7.946338496,Open water - freshwater,12,1,0.0,5.0,0,,,POINT (3699179.99962542 1010579.999956667),0,,,Eastern
2902,857,137387105.0,38.36970386,7.944439476,Open water - freshwater,1,1,1.0,5.0,1,,,POINT (3702149.999779866 1010340.00000751),0,,,Eastern
2903,858,137387105.0,38.36970386,7.944439476,Open water - freshwater,2,1,1.0,5.0,1,,,POINT (3702149.999779866 1010340.00000751),0,,,Eastern
2904,859,137387105.0,38.36970386,7.944439476,Open water - freshwater,3,1,1.0,4.0,1,,,POINT (3702149.999779866 1010340.00000751),0,,,Eastern
2905,860,137387105.0,38.36970386,7.944439476,Open water - freshwater,4,1,1.0,4.0,1,,,POINT (3702149.999779866 1010340.00000751),0,,,Eastern
2906,861,137387105.0,38.36970386,7.944439476,Open water - freshwater,5,1,1.0,2.0,1,,,POINT (3702149.999779866 1010340.00000751),0,,,Eastern
2907,862,137387105.0,38.36970386,7.944439476,Open water - freshwater,6,1,1.0,2.0,1,,,POINT (3702149.999779866 1010340.00000751),0,,,Eastern
2908,863,137387105.0,38.36970386,7.944439476,Open water - freshwater,7,1,1.0,2.0,1,,,POINT (3702149.999779866 1010340.00000751),0,,,Eastern
2909,864,137387105.0,38.36970386,7.944439476,Open water - freshwater,8,1,1.0,3.0,1,,,POINT (3702149.999779866 1010340.00000751),0,,,Eastern
2910,865,137387105.0,38.36970386,7.944439476,Open water - freshwater,9,1,1.0,4.0,1,,,POINT (3702149.999779866 1010340.00000751),0,,,Eastern
2911,866,137387105.0,38.36970386,7.944439476,Open water - freshwater,10,1,1.0,6.0,1,,,POINT (3702149.999779866 1010340.00000751),0,,,Eastern
2912,867,137387105.0,38.36970386,7.944439476,Open water - freshwater,11,1,1.0,3.0,1,,,POINT (3702149.999779866 1010340.00000751),0,,,Eastern
2913,868,137387105.0,38.36970386,7.944439476,Open water - freshwater,12,1,1.0,5.0,1,,,POINT (3702149.999779866 1010340.00000751),0,,,Eastern
2914,871,137387106.0,38.34265338,7.938742466,Wetlands - marine (e.g. mangroves),2,0,0.0,4.0,0,,,POINT (3699539.999585665 1009619.999994682),0,,,Eastern
2915,872,137387106.0,38.34265338,7.938742466,Wetlands - marine (e.g. mangroves),3,0,0.0,6.0,0,,,POINT (3699539.999585665 1009619.999994682),0,,,Eastern
2916,873,137387106.0,38.34265338,7.938742466,Wetlands - marine (e.g. mangroves),4,0,0.0,4.0,0,,,POINT (3699539.999585665 1009619.999994682),0,,,Eastern
2917,874,137387106.0,38.34265338,7.938742466,Wetlands - marine (e.g. mangroves),5,0,0.0,3.0,0,,,POINT (3699539.999585665 1009619.999994682),0,,,Eastern
2918,875,137387106.0,38.34265338,7.938742466,Wetlands - marine (e.g. mangroves),6,0,0.0,2.0,0,,,POINT (3699539.999585665 1009619.999994682),0,,,Eastern
2919,876,137387106.0,38.34265338,7.938742466,Wetlands - marine (e.g. mangroves),7,0,1.0,2.0,1,,,POINT (3699539.999585665 1009619.999994682),0,,,Eastern
2920,877,137387106.0,38.34265338,7.938742466,Wetlands - marine (e.g. mangroves),8,0,1.0,3.0,1,,,POINT (3699539.999585665 1009619.999994682),0,,,Eastern
2921,878,137387106.0,38.34265338,7.938742466,Wetlands - marine (e.g. mangroves),9,0,1.0,4.0,1,,,POINT (3699539.999585665 1009619.999994682),0,,,Eastern
2922,879,137387106.0,38.34265338,7.938742466,Wetlands - marine (e.g. mangroves),10,0,0.0,4.0,0,,,POINT (3699539.999585665 1009619.999994682),0,,,Eastern
2923,880,137387106.0,38.34265338,7.938742466,Wetlands - marine (e.g. mangroves),11,0,0.0,3.0,0,,,POINT (3699539.999585665 1009619.999994682),0,,,Eastern
2924,881,137387106.0,38.34265338,7.938742466,Wetlands - marine (e.g. mangroves),12,0,0.0,5.0,0,,,POINT (3699539.999585665 1009619.999994682),0,,,Eastern
2925,882,137387107.0,37.32157557,7.814614127,Open water - freshwater,1,1,1.0,6.0,1,,,POINT (3601019.999852033 993930.0000337464),0,,,Eastern
2926,883,137387107.0,37.32157557,7.814614127,Open water - freshwater,2,1,1.0,3.0,1,,,POINT (3601019.999852033 993930.0000337464),0,,,Eastern
2927,884,137387107.0,37.32157557,7.814614127,Open water - freshwater,3,1,1.0,3.0,1,,,POINT (3601019.999852033 993930.0000337464),0,,,Eastern
2928,885,137387107.0,37.32157557,7.814614127,Open water - freshwater,4,1,1.0,1.0,1,,,POINT (3601019.999852033 993930.0000337464),0,,,Eastern
2929,886,137387107.0,37.32157557,7.814614127,Open water - freshwater,5,1,1.0,3.0,1,,,POINT (3601019.999852033 993930.0000337464),0,,,Eastern
2930,888,137387107.0,37.32157557,7.814614127,Open water - freshwater,7,1,1.0,3.0,1,,,POINT (3601019.999852033 993930.0000337464),0,,,Eastern
2931,891,137387107.0,37.32157557,7.814614127,Open water - freshwater,9,1,1.0,5.0,1,,,POINT (3601019.999852033 993930.0000337464),0,,,Eastern
2932,892,137387107.0,37.32157557,7.814614127,Open water - freshwater,10,1,1.0,3.0,1,,,POINT (3601019.999852033 993930.0000337464),0,,,Eastern
2933,893,137387107.0,37.32157557,7.814614127,Open water - freshwater,11,1,1.0,5.0,1,,,POINT (3601019.999852033 993930.0000337464),0,,,Eastern
